State,solar%,wind%,CF_NG,CF_solar,CF_wind,EMM Region,Cost_aj_NG,Cost_aj_wind,Cost_aj_solar,Facility Name,Facility ID,Unit ID,Associated Stacks,Year,Operating Time Count,Sum of the Operating Time,Gross_Load_MWh,Total capacity,capacity,SO2(short tons),SO2 Rate (lbs/mmBtu),CO2 (short tons),CO2 Rate (short tons/mmBtu),NOx (short tons),NOx Rate (lbs/mmBtu),total PM2.5,PM2.5,total VOC,VOC,Heat Input (mmBtu),CF (%),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,,O&M ,Fuel costs,Total Costs,,BPT_NOx_O3,BPT_NOx_PM2.5,BPT_PM2.5,BPT_SO2_PM2.5,SCC_CO2,BPT_VOC,,AC SO2 red,AC NOx red,AC CO2 red,AC PM2.5 red,AC VOC red,AC_Control_Cost,AC_Fuel_Costs,AC_TotalCosts,%SO2,%NOX,%CO2,%PM2.5,%VOC,AC_Benefits,AC_NetBenefits,AC_SO2_BPT,AC_NOx_BPT,CO2_BPT,AC_PM2.5_BPT,AC_VOC_BPT,,GT SO2 red,GT NOx red,GT CO2 red,GT PM2.5 red,GT VOC red,Capacity_replaced,GT CAPEX,GT O&M ,Fuel costs,GT_TotalCosts,GT_Benefits,GT_NetBenefits,%SO2,%NOX,%CO2,%PM2.5,%VOC,GT_SO2_BPT,GT_NOx_BPT,GT_CO2_BPT,GT_PM2.5_BPT,GT_VOC_BPT,,RT SO2 red,RT Nox red,RT CO2 red,RT PM2.5 red,RT VOC red,Capacity_replaced_solar,Capacity_replaced_wind,CAPEX,O&M ,RT_TotalCosts,RT_Benefits,RT_NetBenefits,Net benefits,%NOX,%CO2,%PM2.5,%VOC,RT_SO2_BPT,RT_NOx_BPT,RT_CO2_BPT,RT_PM2.5_BPT,RT_VOC_BPT
AL,0.26%,0.00%,64.80%,24.30%,14.70%,14-SRSE,0.93,0.96,0.89,Barry,3,4,,2020,916,910,166714.5,1192.6,403.8,952.988,1.1014,164045.75,0.1019,227.051,0.2502,,71.5693988,,4.10054106,1598916.5,0.0471305983567072,Coal,Pipeline Natural Gas,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA|Selective Non-catalytic Reduction,Electrostatic Precipitator,,19100570.115,3373713.815,22474283.93,,56500,2900,99500,0,185,2400,,837,-3.7009313,-2673.945725,-1.16658120044,-0.066838819278,16409334.5847901,54991.5351845,16464326.1199746,87.83%,-1.63%,-1.63%,-1.63%,-1.63%,-830750.52,-17295076.64,-19670.6405256566,-804526.341781756,5192.37825218962,-8009018.94857437,-246181560.344328,,952.612941408676,220.03740434225,89395.58821733,66.8192817408875,0.6638791877025,2936.93%,2696797.54,895144.38,2846244.64,-16036097.37,36258517.4814045,52294614.85,0.999606439334678,0.969110042863718,0.544943030936979,0.933629216693762,0.16190038777529,16833.80,134172.31,9707.68,346565.42,24169967.92,,952.988,227.051,164045.75,71.5693988,4.10054106,7831.83%,0.00%,17902801.25,1777432.76,-2794049.91531864,50966289.629144,53760339.5444626,1,1,1,1,1,2931.88362845979,71705.8251904578,202.032138384071,138539.728741142,683785.669460566
AR,0.50%,0.00%,62.30%,25.70%,14.70%,12-SRDA,0.93,0.96,0.89,Independence,6641,2,,2020,2899,2893.14,1487102.95,1700,850,3746.513,0.4339,1750610.26,0.1043,1385.193,0.1757,211.182509,189.894073328529,56.16407243,50.5024044792046,16700698.2,0.199718365565404,Coal,Residual Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,33210882.5165,35238473.202,68449355.7185,,51850,5665,64400,78950,185,2400,,5775.70231096875,-22.5786459,-28534.947238,-3.09527339525502,-0.823189193011035,29515669.2942696,574387.1131926,30090056.4074622,92.34%,-1.63%,-1.63%,-1.63%,-1.63%,449212810.13,419122753.72,46002.5691486812,2195849.97289575,10295.194844493,-5770371.72628603,-36405787.2614836,,3743.16745574572,1322.63132244498,1084726.51380524,147.52275534808,19.8471824772424,27248.89%,25020902.05,8099812.46,25388666.24,-9939974.97,581816714.877879,591756689.85,0.99910702451739,0.954835407372821,0.619627645621842,0.77686866557892,0.392994802562616,81676.06,67750.82,16624.30,150276.16,506932.45,,3746.513,1385.193,1750610.26,189.894073328529,50.5024044792046,66054.71%,0.00%,150994734.04,14991116.97,97536495.289217,711669858.938107,614133363.64889,1,1,1,1,1,52916.0598297091,-12898.6501478256,129.284289017467,-449236.331980054,-1928923.79131334
AR,0.50%,0.00%,62.30%,25.70%,14.70%,12-SRDA,0.93,0.96,0.89,Independence,6641,1,,2020,3928,3918.26,1648334.66,1700,850,4242.826,0.4432,1938056.08,0.1044,1606.636,0.1845,211.182509,99.6215702735237,56.16407243,26.4943963159019,18487570.9,0.22137183185603,Coal,Residual Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,33512385.8142,39008774.599,72521160.4132,,51850,5665,64400,78950,185,2400,,4060,-26.1881668,-31590.314104,-1.62383159545844,-0.431858659949201,27445423.1340318,635843.0259637,28081266.1599955,91.11%,-1.63%,-1.63%,-1.63%,-1.63%,313080968.26,284999702.10,75588.6321527105,2456239.2576484,10460.7731202698,-13342293.0647337,-64876966.0243308,,4239.11773181931,1537.29138502113,1199977.21438854,52.6563537651072,-7.4844650237444,30203.22%,27733668.39,8977994.17,28141305.57,-7668192.28,648464550.064921,656132742.35,0.999125990983206,0.956838627430936,0.619165372339762,0.528563780118427,-0.282492378180824,80827.98,65097.52,16901.35,267466.70,1033043.62,,4242.826,1606.636,1938056.08,99.6215702735237,26.4943963159019,73216.36%,0.00%,167365583.93,16616453.95,111460877.471679,792396372.716773,680935495.245094,1,1,1,1,1,52679.56669171,-11860.3143037247,127.488311549953,-1054442.80849668,-4204560.45090789
AR,0.50%,0.00%,62.30%,25.70%,14.70%,12-SRDA,0.93,0.96,0.89,White Bluff,6009,2,,2020,3566,3561.85,1845882.99,1700,850,4456.04,0.4534,1990663.96,0.1044,1488.793,0.1739,348.619225,111.560938726476,78.94955014,41.7065123781222,18989808.3,0.247902630942788,Coal,Residual Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,33881801.1913,40068495.513,73950296.7043,,51850,5665,64400,78950,185,2400,,3893,-24.2673259,-32447.822548,-1.81844330124156,-0.679816151763392,28230704.8108927,653116.4768619,28883821.2877546,91.75%,-1.63%,-1.63%,-1.63%,-1.63%,299835028.27,270951206.98,82949.0204757887,2338292.58077609,10459.5311691621,-11932897.1208253,-42340455.7002423,,4451.88730617926,1411.1376255522,1164128.39269554,58.9670714868262,3.65537889869775,33822.99%,31057471.50,10053981.83,31513962.87,-1324880.50,651808088.318271,653132968.82,0.999068075281923,0.947840045964886,0.584794026559631,0.528563780118425,0.087645278645146,79321.24,61618.94,17886.98,144307.74,389829.94,,4456.04,1488.793,1990663.96,111.560938726476,41.7065123781222,81991.14%,0.00%,187423884.23,18607889.80,132081477.327094,812989740.078693,680908262.751599,1,1,1,1,1,49309.0009678787,-31202.1536453315,118.649536043696,-1119540.17507266,-3164526.93288781
AR,0.50%,0.00%,62.30%,25.70%,14.70%,12-SRDA,0.93,0.96,0.89,White Bluff,6009,1,,2020,4718,4715.36,2349637.35,1700,850,6255.071,0.4497,2833416.45,0.1045,2297.349,0.1712,348.619225,348.060046153094,78.94955014,78.8229165086762,27025168.9,0.315556990330379,Coal,Residual Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,34823821.8445,57023106.379,91846928.2235,,51850,5665,64400,78950,185,2400,,3442,-37.4467887,-46184.688135,-5.67337875229543,-1.28481353909142,28041284.6699652,929476.6339777,28970761.3039429,91.87%,-1.63%,-1.63%,-1.63%,-1.63%,260679531.50,231708770.19,135057.26151832,2754876.18598006,10722.4125991396,-1155518.53981743,-22401372.2058654,,6249.78500703231,2198.50093150418,1781313.55368262,281.112945217285,30.387362945722,43053.52%,39533272.39,12797783.69,40114343.43,598471.29,967586918.155011,966988446.87,0.999154926783774,0.95697298560392,0.628680458773584,0.807656461361376,0.38551431857228,78921.02,59828.75,17055.09,77607.94,-13469.29,,6255.071,2297.349,2833416.45,348.060046153094,78.8229165086762,104367.10%,0.00%,238573171.25,23686112.88,170412355.90963,1172756168.40688,1002343812.49725,1,1,1,1,1,51706.127642735,-16662.8266643988,124.856226955402,-425206.198106042,-2159564.60950379
CT,0.52%,0.03%,67.70%,18.20%,29.30%,5-NEWE,1.16,1.06,1.03,Bridgeport Harbor Station,568,BHB3,,2020,63,58.59,3774.83,400,400,4.005,0.0724,4944.928,0.105,3.749,0.0952,10.91966,10.91966,19.67047302,19.67047302,47149.494,0.00107729166666667,Coal,Diesel Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,18619058.9321,99485.43234,18718544.36444,,72200,9535,0,0,185,2400,,2,-0.0611087,-80.6023264,-0.177990458,-0.320628710226,16053091.5913902,1621.612547142,16054713.2039373,49.94%,-1.63%,-1.63%,-1.63%,-1.63%,-20675.66,-16075388.86,-8027356.60196865,-257709437.264044,-187834.547712723,-90199853.3198746,-49925360.8867595,,3.99650774274412,3.590194789315,3254.6630848182,10.8121055618542,19.5926584667644,63.65%,72901.04,24891.96,80384.31,-18540367.05,942579.622116263,19482946.68,0.997879586203276,0.957640647990131,0.658182097862335,0.990150385804521,0.996044093441145,4639142.03,5249517.83,-279687.31,1714778.58,948701.08,,4.005,3.749,4944.928,10.91966,19.67047302,223.85%,8.02%,608316.48,62400.36,-18047827.5269679,1268445.330248,19316272.8572159,1,1,1,1,1,4506323.97677101,4895772.7505916,3834.76548232207,1652782.91878757,919908.567720651
IA,0.04%,57.32%,39.90%,21.40%,43.20%,4-MROW,0.97,1.03,0.95,Muscatine,1167,8,,2020,7431,7419.51,370165.26,193.6,75,1453.799,0.649,469029.551,0.105,1818.802,0.8077,47.8149378,18.5233488378099,22.79968464,8.83252245867769,4472063.61,0.563417442922374,Coal,Natural Gas,Cyclone boiler,,Overfire Air,Electrostatic Precipitator,,4181959.0362,9436054.2171,13618013.2533,,25970,19050,77500,90400,185,2400,,2555,-29.6464726,-7645.1816813,-0.301930586056301,-0.143970116076446,12499890,153807.68373873,12653697.6837387,93.86%,-1.63%,-1.63%,-1.63%,-1.63%,228199212.04,215545514.36,46485.2179711395,2335143.5191066,9694.57265254399,-37154692.7236997,-87743901.1241069,,1452.96623703714,1803.22933259443,303279.74192326,7.9764059131284,1.20191542994839,10590.55%,10142885.48,2537636.01,6591485.40,5653993.65,269257340.692661,263603347.05,0.99942718149974,0.991437953441018,0.646611159737481,0.430613599245453,0.136078389335715,86560.47,42273.31,14974.25,-528864.02,-4686515.75,,1453.799,1818.802,469029.551,18.5233488378099,8.83252245867769,13.77%,9774.73%,19116535.88,4272156.55,9770679.17490013,301533120.163831,291762440.988931,1,1,1,1,1,83679.2090413461,39647.9588570388,164.168307936955,-449979.089253893,-1103816.17104418
IA,0.04%,57.32%,39.90%,21.40%,43.20%,4-MROW,0.97,1.03,0.95,Burlington (IA),1104,1,,2020,7456,7449.22,1224304.46,212,212,2722.015,0.4316,1305468.74,0.1044,866.822,0.1386,166.1183228,166.1183228,21.54286056,21.54286056,12458284.3,0.659248976910485,Coal,Natural Gas,Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Overfire Air,Electrostatic Precipitator,,12153809.3402,26286979.873,38440789.2132,,25970,19050,77500,90400,185,2400,,1378,-14.1291986,-21279.140462,-2.70772866164,-0.351148627128,7706750,428477.7719299,8135227.7719299,94.79%,-1.63%,-1.63%,-1.63%,-1.63%,119787770.77,111652542.99,172666.856479006,2186189.00778067,10967.383271182,1750154.03581829,-23020237.8198087,,2719.26067505455,815.31612352003,757258.920156828,131.234797365838,-3.6950189151853,35027.77%,33547124.15,8393113.63,21801032.81,25300481.38,432781425.885272,407480944.51,0.998988130136884,0.940580792273419,0.580066681762773,0.790007960312961,-0.171519418458572,81187.39,16832.54,18873.70,-94687.63,-6833193.30,,2722.015,866.822,1305468.74,166.1183228,21.54286056,45.54%,32329.47%,63227057.37,14129960.01,38916228.1725312,539532072.222344,500615844.049813,1,1,1,1,1,76103.1544012317,124.706418928915,155.189842942902,-156768.125975392,-1804055.92836401
IL,0.05%,9.36%,41.00%,22.60%,38.20%,13- SRGW,1.06,1.04,1.05,Joppa Steam,887,6,CS3,2020,5685,5647.58,616376.05,1100.4,183.4,1316.877,0.416,658907.179,0.105,362.412,0.1197,,47.407572,,12.322008,6282498.44,0.383656285634614,Coal,,Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled OFA,Electrostatic Precipitator,,9686225.2135,13256071.7084,22942296.9219,,53500,16350,147800,90250,185,2400,,2848,-5.9073156,-10740.1870177,-0.7727434236,-0.2008487304,14450570,216073.96884692,14666643.9688469,96.25%,-1.63%,-1.63%,-1.63%,-1.63%,254517745.89,239851101.92,36580.584719506,1802482.70993903,9984.10772265272,-9912481.41790967,-72876094.9620964,,1315.49033517457,336.481367764525,382910.958806417,29.8454619859737,-0.38400179538275,17161.60%,17961176.88,4558542.49,11994096.07,11571518.52,217474991.344262,205903472.82,0.998947005054056,0.928449852004142,0.58113034887182,0.629550528045893,-0.0311638975873697,81548.78,40843.15,17150.28,-152943.83,-30057009.73,,1316.877,362.412,658907.179,47.407572,12.322008,165.43%,18321.65%,36562253.01,8123407.28,21743363.3644716,273096867.5258,251353504.161328,1,1,1,1,1,73738.6907703061,9853.74335156783,152.000870445105,-310847.478602608,-1762195.78377742
IL,0.05%,9.36%,41.00%,22.60%,38.20%,13- SRGW,1.06,1.04,1.05,Joppa Steam,887,3,CS2,2020,5816,5788.13,629865.83,1100.4,183.4,1140.939,0.3452,632236.132,0.0981,343.283,0.1103,,41.073804,,11.671622,6381742.2,0.392052846287527,Coal,Pipeline Natural Gas,Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled OFA,Electrostatic Precipitator,,9711451.1021,13465476.042,23176927.1441,,53500,16350,147800,90250,185,2400,,3336,-5.5955129,-10305.4489516,-0.6695030052,-0.1902474386,16593797,219487.2594846,16813284.2594846,93.36%,-1.63%,-1.63%,-1.63%,-1.63%,298677236.23,281863951.97,25826.2771254543,1280496.25093625,9718.19865693151,-16045597.9209167,-88228637.873943,,1139.52198713716,316.784859464815,350199.559830958,23.1273360920792,-1.31246686224065,17537.19%,18354268.60,4658309.08,12256594.46,12092245.00,193171270.695413,181079025.70,0.998758029252361,0.922809633639927,0.55390627347277,0.563067791141994,-0.112449397542231,79750.55,37520.96,17510.31,-260364.48,-9192028.73,,1140.939,343.283,632236.132,41.073804,11.671622,169.05%,18722.63%,37362441.06,8301193.19,22486707.1021908,250010466.844,227523759.741809,1,1,1,1,1,70541.0522804543,4345.13345493135,149.433055999098,-399670.769987382,-1924213.72191378
